season,city,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,venue,umpire1
2017,Delhi,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,6,Feroz Shah Kotla,YC Barde
2017,Kolkata,Kolkata Knight Riders,Rising Pune Supergiants,Rising Pune Supergiants,field,Rising Pune Supergiants,0,4,Eden Gardens,KN Ananthapadmanabhan
2017,Delhi,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,7,Feroz Shah Kotla,M Erasmus
2017,Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab,19,0,M Chinnaswamy Stadium,CB Gaffaney
2017,Hyderabad,Rising Pune Supergiants,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rising Pune Supergiants,12,0,"Rajiv Gandhi International Stadium, Uppal",KN Ananthapadmanabhan
2017,Delhi,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,146,0,Feroz Shah Kotla,Nitin Menon
2017,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6,M Chinnaswamy Stadium,AY Dandekar
2017,Chandigarh,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,0,6,"Punjab Cricket Association IS Bindra Stadium, Mohali",A Nand Kishore
2017,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Sunrisers Hyderabad,0,7,"Rajiv Gandhi International Stadium, Uppal",KN Ananthapadmanabhan
2017,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab,14,0,"Punjab Cricket Association IS Bindra Stadium, Mohali",A Nand Kishore
2017,Kanpur,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,2,Green Park,YC Barde
2017,Mumbai,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,7,0,Wankhede Stadium,A Deshmukh
2017,Delhi,Delhi Daredevils,Rising Pune Supergiants,Delhi Daredevils,bat,Delhi Daredevils,7,0,Feroz Shah Kotla,KN Ananthapadmanabhan
2017,Kanpur,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,8,Green Park,AK Chaudhary
2017,Kolkata,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,9,0,Eden Gardens,A Nand Kishore
2017,Pune,Kings XI Punjab,Rising Pune Supergiants,Rising Pune Supergiants,field,Rising Pune Supergiants,0,9,Maharashtra Cricket Association Stadium,AY Dandekar
2017,Delhi,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,10,0,Feroz Shah Kotla,CK Nandan
2017,Mumbai,Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,field,Rising Pune Supergiants,20,0,Wankhede Stadium,S Ravi
2017,Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,7,M Chinnaswamy Stadium,AK Chaudhary
2017,Bangalore,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,6,M Chinnaswamy Stadium,NJ Llong
2017,Hyderabad,Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Mumbai Indians,1,0,"Rajiv Gandhi International Stadium, Uppal",NJ Llong
2008,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,140,0,M Chinnaswamy Stadium,Asad Rauf
2008,Chandigarh,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,33,0,"Punjab Cricket Association Stadium, Mohali",MR Benson
2008,Delhi,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,Delhi Daredevils,0,9,Feroz Shah Kotla,Aleem Dar
2008,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,0,5,Wankhede Stadium,SJ Davis
2008,Kolkata,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,Kolkata Knight Riders,0,5,Eden Gardens,BF Bowden
2008,Jaipur,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Rajasthan Royals,0,6,Sawai Mansingh Stadium,Aleem Dar
2008,Hyderabad,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils,0,9,"Rajiv Gandhi International Stadium, Uppal",IL Howell
2008,Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,6,0,"MA Chidambaram Stadium, Chepauk",DJ Harper
2008,Hyderabad,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,3,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf
2008,Chandigarh,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,66,0,"Punjab Cricket Association Stadium, Mohali",Aleem Dar
2008,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,7,M Chinnaswamy Stadium,MR Benson
2008,Chennai,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,0,9,"MA Chidambaram Stadium, Chepauk",BF Bowden
2008,Mumbai,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,0,10,Dr DY Patil Sports Academy,Asad Rauf
2008,Chandigarh,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Kings XI Punjab,0,4,"Punjab Cricket Association Stadium, Mohali",RE Koertzen
2008,Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,13,0,M Chinnaswamy Stadium,BR Doctrove
2008,Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,0,7,Eden Gardens,BF Bowden
2008,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,10,0,Feroz Shah Kotla,Aleem Dar
2008,Hyderabad,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,7,"Rajiv Gandhi International Stadium, Uppal",BR Doctrove
2008,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,45,0,Sawai Mansingh Stadium,RE Koertzen
2008,Chennai,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils,0,8,"MA Chidambaram Stadium, Chepauk",BF Bowden
2008,Hyderabad,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Royal Challengers Bangalore,0,5,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf
2008,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kings XI Punjab,9,0,"Punjab Cricket Association Stadium, Mohali",DJ Harper
2008,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,29,0,Dr DY Patil Sports Academy,IL Howell
2008,Jaipur,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,0,8,Sawai Mansingh Stadium,Asad Rauf
2008,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,6,M Chinnaswamy Stadium,SJ Davis
2008,Chennai,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,0,7,"MA Chidambaram Stadium, Chepauk",MR Benson
2008,Mumbai,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,7,Dr DY Patil Sports Academy,DJ Harper
2008,Delhi,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,4,Feroz Shah Kotla,Aleem Dar
2008,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,5,0,Eden Gardens,Asad Rauf
2008,Jaipur,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,8,Sawai Mansingh Stadium,MR Benson
2008,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,9,M Chinnaswamy Stadium,BF Bowden
2008,Chennai,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Chennai Super Kings,18,0,"MA Chidambaram Stadium, Chepauk",AV Jayaprakash
2008,Hyderabad,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders,23,0,"Rajiv Gandhi International Stadium, Uppal",IL Howell
2008,Jaipur,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,3,Sawai Mansingh Stadium,SJ Davis
2008,Chandigarh,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,0,9,"Punjab Cricket Association Stadium, Mohali",BR Doctrove
2008,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders,23,0,Eden Gardens,Asad Rauf
2008,Mumbai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,9,Wankhede Stadium,BR Doctrove
