season,city,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,venue,umpire1
2010,Kolkata,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,7,Eden Gardens,HDPK Dharmasena
2010,Chennai,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,Deccan Chargers,31,0,"MA Chidambaram Stadium, Chepauk",K Hariharan
2010,Ahmedabad,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,6,"Sardar Patel Stadium, Motera",BG Jerling
2010,Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Royal Challengers Bangalore,0,8,M Chinnaswamy Stadium,S Das
2010,Kolkata,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,55,0,Eden Gardens,HDPK Dharmasena
2010,Delhi,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,98,0,Feroz Shah Kotla,BR Doctrove
2010,Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,10,M Chinnaswamy Stadium,K Hariharan
2010,Delhi,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Chennai Super Kings,0,5,Feroz Shah Kotla,BR Doctrove
2010,Cuttack,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Deccan Chargers,6,0,Barabati Stadium,BF Bowden
2010,Ahmedabad,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,34,0,"Sardar Patel Stadium, Motera",RE Koertzen
2010,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,0,7,Brabourne Stadium,HDPK Dharmasena
2010,Cuttack,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers,10,0,Barabati Stadium,BF Bowden
2010,Chennai,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Kings XI Punjab,0,0,"MA Chidambaram Stadium, Chepauk",K Hariharan
2010,Mumbai,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,0,7,Brabourne Stadium,SS Hazare
2010,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,36,0,M Chinnaswamy Stadium,RE Koertzen
2010,Chandigarh,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals,31,0,"Punjab Cricket Association Stadium, Mohali",BR Doctrove
2010,Mumbai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,5,Brabourne Stadium,BF Bowden
2010,Ahmedabad,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals,0,8,"Sardar Patel Stadium, Motera",HDPK Dharmasena
2010,Chandigarh,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kolkata Knight Riders,39,0,"Punjab Cricket Association Stadium, Mohali",BR Doctrove
2010,Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,17,0,M Chinnaswamy Stadium,BG Jerling
2010,Ahmedabad,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,17,0,"Sardar Patel Stadium, Motera",SS Hazare
2010,Mumbai,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Mumbai Indians,41,0,Dr DY Patil Sports Academy,S Das
2010,Delhi,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Delhi Daredevils,40,0,Feroz Shah Kotla,SS Hazare
2010,Mumbai,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,4,Brabourne Stadium,BR Doctrove
2010,Chennai,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,0,5,"MA Chidambaram Stadium, Chepauk",BG Jerling
2010,Delhi,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils,67,0,Feroz Shah Kotla,HDPK Dharmasena
2010,Kolkata,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders,24,0,Eden Gardens,K Hariharan
2010,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Royal Challengers Bangalore,0,6,"Punjab Cricket Association Stadium, Mohali",BF Bowden
2010,Chennai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,23,0,"MA Chidambaram Stadium, Chepauk",RE Koertzen
2010,Mumbai,Mumbai Indians,Deccan Chargers,Mumbai Indians,bat,Mumbai Indians,63,0,Brabourne Stadium,BR Doctrove
2010,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kings XI Punjab,0,8,Eden Gardens,S Asnani
2010,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,Delhi Daredevils,37,0,Feroz Shah Kotla,BF Bowden
2010,Nagpur,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,bat,Rajasthan Royals,2,0,"Vidarbha Cricket Association Stadium, Jamtha",HDPK Dharmasena
2010,Chennai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,24,0,"MA Chidambaram Stadium, Chepauk",S Asnani
2010,Jaipur,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Rajasthan Royals,0,9,Sawai Mansingh Stadium,S Ravi
2010,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders,14,0,Eden Gardens,BG Jerling
2010,Bangalore,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,0,7,M Chinnaswamy Stadium,S Asnani
2010,Chandigarh,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,0,6,"Punjab Cricket Association Stadium, Mohali",M Erasmus
2010,Nagpur,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Deccan Chargers,0,6,"Vidarbha Cricket Association Stadium, Jamtha",HDPK Dharmasena
2010,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,7,M Chinnaswamy Stadium,K Hariharan
2010,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Kings XI Punjab,0,7,Feroz Shah Kotla,BF Bowden
2010,Jaipur,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,37,0,Sawai Mansingh Stadium,BR Doctrove
2010,Nagpur,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers,13,0,"Vidarbha Cricket Association Stadium, Jamtha",RE Koertzen
2010,Mumbai,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Mumbai Indians,39,0,Brabourne Stadium,S Asnani
2010,Chennai,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,0,9,"MA Chidambaram Stadium, Chepauk",SS Hazare
2010,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,0,5,Sawai Mansingh Stadium,BR Doctrove
2010,Chennai,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils,0,6,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena
2010,Dharamsala,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,0,5,Himachal Pradesh Cricket Association Stadium,M Erasmus
2010,Bangalore,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,57,0,M Chinnaswamy Stadium,HDPK Dharmasena
2010,Kolkata,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Kolkata Knight Riders,0,8,Eden Gardens,BG Jerling
2010,Dharamsala,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,6,Himachal Pradesh Cricket Association Stadium,BF Bowden
2010,Delhi,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers,11,0,Feroz Shah Kotla,BR Doctrove
2010,Kolkata,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Kolkata Knight Riders,0,9,Eden Gardens,BG Jerling
2010,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,35,0,Dr DY Patil Sports Academy,BR Doctrove
2010,Mumbai,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings,38,0,Dr DY Patil Sports Academy,BR Doctrove
2010,Mumbai,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Royal Challengers Bangalore,0,9,Dr DY Patil Sports Academy,RE Koertzen
2010,Mumbai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,22,0,Dr DY Patil Sports Academy,RE Koertzen
2011,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,2,0,"MA Chidambaram Stadium, Chepauk",BR Doctrove
2011,Hyderabad,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,8,"Rajiv Gandhi International Stadium, Uppal",RE Koertzen
2011,Kochi,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore,0,6,Nehru Stadium,HDPK Dharmasena
2011,Delhi,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Mumbai Indians,0,8,Feroz Shah Kotla,AM Saheba
2011,Mumbai,Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,Pune Warriors,0,7,Dr DY Patil Sports Academy,BR Doctrove
2011,Kolkata,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders,9,0,Eden Gardens,RE Koertzen
2011,Jaipur,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals,0,6,Sawai Mansingh Stadium,Aleem Dar
2011,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,9,M Chinnaswamy Stadium,HDPK Dharmasena
2011,Chandigarh,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,6,"Punjab Cricket Association Stadium, Mohali",Asad Rauf
2011,Mumbai,Kochi Tuskers Kerala,Pune Warriors,Kochi Tuskers Kerala,bat,Pune Warriors,0,4,Dr DY Patil Sports Academy,S Asnani
2011,Hyderabad,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers,33,0,"Rajiv Gandhi International Stadium, Uppal",RE Koertzen
2011,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,9,Sawai Mansingh Stadium,Aleem Dar
2011,Mumbai,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,0,8,Wankhede Stadium,BR Doctrove
2011,Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,21,0,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena
2011,Hyderabad,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,8,"Rajiv Gandhi International Stadium, Uppal",RE Koertzen
2011,Mumbai,Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,3,Dr DY Patil Sports Academy,Asad Rauf
2011,Kolkata,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,8,Eden Gardens,Aleem Dar
2011,Kochi,Chennai Super Kings,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,0,7,Nehru Stadium,K Hariharan
2011,Delhi,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers,16,0,Feroz Shah Kotla,PR Reiffel
2011,Mumbai,Pune Warriors,Mumbai Indians,Pune Warriors,bat,Mumbai Indians,0,7,Wankhede Stadium,Asad Rauf
2011,Kolkata,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,Kochi Tuskers Kerala,6,0,Eden Gardens,Aleem Dar
2011,Chandigarh,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,48,0,"Punjab Cricket Association Stadium, Mohali",S Asnani
2011,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,8,0,Wankhede Stadium,Asad Rauf
2011,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,9,Eden Gardens,SS Hazare
2011,Delhi,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Delhi Daredevils,29,0,Feroz Shah Kotla,S Asnani
2011,Hyderabad,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Mumbai Indians,37,0,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena
2011,Jaipur,Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,8,Sawai Mansingh Stadium,BR Doctrove
2011,Chennai,Chennai Super Kings,Pune Warriors,Pune Warriors,field,Chennai Super Kings,25,0,"MA Chidambaram Stadium, Chepauk",Aleem Dar
2011,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,3,Feroz Shah Kotla,S Asnani
2011,Mumbai,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,Chennai Super Kings,0,8,Dr DY Patil Sports Academy,Asad Rauf
2011,Kochi,Deccan Chargers,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Deccan Chargers,55,0,Nehru Stadium,HDPK Dharmasena
2011,Delhi,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Kolkata Knight Riders,17,0,Feroz Shah Kotla,PR Reiffel
2011,Jaipur,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,7,Sawai Mansingh Stadium,Asad Rauf
2011,Bangalore,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,Royal Challengers Bangalore,26,0,M Chinnaswamy Stadium,Aleem Dar
2011,Kochi,Delhi Daredevils,Kochi Tuskers Kerala,Delhi Daredevils,bat,Delhi Daredevils,38,0,Nehru Stadium,HDPK Dharmasena
2011,Kolkata,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,8,Eden Gardens,AM Saheba
2011,Jaipur,Pune Warriors,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,6,Sawai Mansingh Stadium,SK Tarapore
2011,Chennai,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings,19,0,"MA Chidambaram Stadium, Chepauk",Aleem Dar
2011,Mumbai,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,23,0,Wankhede Stadium,HDPK Dharmasena
2011,Delhi,Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,0,7,Feroz Shah Kotla,Asad Rauf
2011,Hyderabad,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,Kolkata Knight Riders,20,0,"Rajiv Gandhi International Stadium, Uppal",S Asnani
2011,Chennai,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,0,8,"MA Chidambaram Stadium, Chepauk",SS Hazare
2011,Mumbai,Mumbai Indians,Pune Warriors,Pune Warriors,field,Mumbai Indians,21,0,Dr DY Patil Sports Academy,HDPK Dharmasena
2011,Kochi,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,Kochi Tuskers Kerala,17,0,Nehru Stadium,S Ravi
2011,Hyderabad,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,4,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf
2011,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,85,0,M Chinnaswamy Stadium,Aleem Dar
2011,Kolkata,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,10,0,Eden Gardens,Asad Rauf
2011,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,32,0,Wankhede Stadium,K Hariharan
2011,Bangalore,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore,0,9,M Chinnaswamy Stadium,Aleem Dar
2011,Chandigarh,Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,Pune Warriors,0,5,"Punjab Cricket Association Stadium, Mohali",SK Tarapore
2011,Jaipur,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,63,0,Sawai Mansingh Stadium,K Hariharan
2011,Hyderabad,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,Pune Warriors,0,6,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf
2011,Chandigarh,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,76,0,"Punjab Cricket Association Stadium, Mohali",SK Tarapore
2011,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,9,Sawai Mansingh Stadium,HDPK Dharmasena
2011,Chennai,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings,18,0,"MA Chidambaram Stadium, Chepauk",AM Saheba
2011,Indore,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,6,Holkar Cricket Stadium,S Asnani
2011,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,4,M Chinnaswamy Stadium,RE Koertzen
2011,Mumbai,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers,10,0,Wankhede Stadium,S Ravi
2011,Dharamsala,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Kings XI Punjab,29,0,Himachal Pradesh Cricket Association Stadium,Asad Rauf
2011,Indore,Rajasthan Royals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,0,8,Holkar Cricket Stadium,PR Reiffel
2011,Mumbai,Pune Warriors,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,0,6,Dr DY Patil Sports Academy,S Ravi
2011,Dharamsala,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Kings XI Punjab,111,0,Himachal Pradesh Cricket Association Stadium,Asad Rauf
2011,Chennai,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,bat,Chennai Super Kings,11,0,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena
2011,Mumbai,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,7,Dr DY Patil Sports Academy,S Ravi
2011,Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,0,10,Wankhede Stadium,RE Koertzen
2011,Dharamsala,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Deccan Chargers,82,0,Himachal Pradesh Cricket Association Stadium,Asad Rauf
2011,Delhi,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Delhi Daredevils,0,0,Feroz Shah Kotla,SS Hazare
2011,Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,8,M Chinnaswamy Stadium,K Hariharan
2011,Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,5,Eden Gardens,SK Tarapore
2011,Mumbai,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,6,Wankhede Stadium,Asad Rauf
2011,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,4,Wankhede Stadium,Asad Rauf
2011,Chennai,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,43,0,"MA Chidambaram Stadium, Chepauk",Asad Rauf
2011,Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,58,0,"MA Chidambaram Stadium, Chepauk",Asad Rauf
2012,Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,8,"MA Chidambaram Stadium, Chepauk",JD Cloete
2012,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,8,Eden Gardens,S Asnani
2012,Mumbai,Pune Warriors,Mumbai Indians,Mumbai Indians,field,Pune Warriors,28,0,Wankhede Stadium,AK Chaudhary
2012,Jaipur,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals,31,0,Sawai Mansingh Stadium,BF Bowden
2012,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore,20,0,M Chinnaswamy Stadium,S Asnani
2012,Visakhapatnam,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Chennai Super Kings,74,0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,JD Cloete
2012,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,22,0,Sawai Mansingh Stadium,BF Bowden
2012,Pune,Pune Warriors,Kings XI Punjab,Pune Warriors,bat,Pune Warriors,22,0,Subrata Roy Sahara Stadium,S Das
2012,Visakhapatnam,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Mumbai Indians,0,5,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,AK Chaudhary
2012,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,42,0,M Chinnaswamy Stadium,S Ravi
2012,Delhi,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,8,Feroz Shah Kotla,Asad Rauf
2012,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,27,0,Wankhede Stadium,Aleem Dar
2012,Chennai,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,0,5,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena
2012,Chandigarh,Pune Warriors,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,7,"Punjab Cricket Association Stadium, Mohali",VA Kulkarni
2012,Kolkata,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Kolkata Knight Riders,0,5,Eden Gardens,Asad Rauf
2012,Delhi,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils,0,5,Feroz Shah Kotla,BF Bowden
2012,Pune,Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,Pune Warriors,0,7,Subrata Roy Sahara Stadium,Aleem Dar
2012,Kolkata,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab,2,0,Eden Gardens,Asad Rauf
2012,Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals,59,0,M Chinnaswamy Stadium,JD Cloete
2012,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,7,Wankhede Stadium,BF Bowden
2012,Jaipur,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals,0,5,Sawai Mansingh Stadium,Aleem Dar
2012,Bangalore,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,bat,Royal Challengers Bangalore,0,6,M Chinnaswamy Stadium,S Asnani
2012,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders,0,8,"Punjab Cricket Association Stadium, Mohali",JD Cloete
2012,Hyderabad,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils,0,9,"Rajiv Gandhi International Stadium, Uppal",JD Cloete
2012,Chennai,Chennai Super Kings,Pune Warriors,Pune Warriors,field,Chennai Super Kings,13,0,"MA Chidambaram Stadium, Chepauk",Asad Rauf
2012,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,5,"Punjab Cricket Association Stadium, Mohali",S Ravi
2012,Chennai,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,0,7,"MA Chidambaram Stadium, Chepauk",Aleem Dar
2012,Delhi,Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,Pune Warriors,20,0,Feroz Shah Kotla,Asad Rauf
2012,Mumbai,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,0,6,Wankhede Stadium,S Ravi
2012,Cuttack,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,5,Barabati Stadium,BF Bowden
2012,Jaipur,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bangalore,46,0,Sawai Mansingh Stadium,Asad Rauf
2012,Pune,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Delhi Daredevils,0,8,Subrata Roy Sahara Stadium,S Ravi
2012,Chandigarh,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,0,4,"Punjab Cricket Association Stadium, Mohali",Aleem Dar
2012,Pune,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,Deccan Chargers,18,0,Subrata Roy Sahara Stadium,S Ravi
2012,Delhi,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,Delhi Daredevils,37,0,Feroz Shah Kotla,Aleem Dar
2012,Chennai,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Kings XI Punjab,7,0,"MA Chidambaram Stadium, Chepauk",BF Bowden
2012,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,47,0,Eden Gardens,Asad Rauf
2012,Delhi,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils,1,0,Feroz Shah Kotla,S Ravi
2012,Mumbai,Deccan Chargers,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,5,Wankhede Stadium,AK Chaudhary
2012,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,0,5,"MA Chidambaram Stadium, Chepauk",BF Bowden
2012,Cuttack,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,Deccan Chargers,13,0,Barabati Stadium,Aleem Dar
2012,Jaipur,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,Delhi Daredevils,0,6,Sawai Mansingh Stadium,JD Cloete
2012,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,4,M Chinnaswamy Stadium,BF Bowden
2012,Pune,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,Mumbai Indians,1,0,Subrata Roy Sahara Stadium,Asad Rauf
2012,Chennai,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings,10,0,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena
